municipalidad,anio_semestre,tipo_compra,monto_neto_clp,n_items,n_ordenes
Huechuraba,2015-2,licitacion,2144192791,1893,357
Huechuraba,2015-2,trato_directo,454250571,172,130
Huechuraba,2016-1,convenio_marco,554448733,1518,517
Huechuraba,2016-1,licitacion,1363945941,915,180
Huechuraba,2016-1,trato_directo,172587670,383,132
Huechuraba,2016-2,convenio_marco,899317545,1942,744
Huechuraba,2016-2,licitacion,4515708568,1706,306
Huechuraba,2016-2,trato_directo,193979815,377,148
Huechuraba,2017-1,convenio_marco,672131293,1834,774
Huechuraba,2017-1,licitacion,1069817630,876,149
Huechuraba,2017-1,trato_directo,411573402,496,175
Huechuraba,2017-2,convenio_marco,1335541994,3892,1107
Huechuraba,2017-2,licitacion,2132393448,1207,297
Huechuraba,2017-2,trato_directo,259047105,527,161
Huechuraba,2018-1,convenio_marco,933655834,2784,1006
Huechuraba,2018-1,licitacion,1509298234,608,225
Huechuraba,2018-1,trato_directo,865976475,370,137
Huechuraba,2018-2,convenio_marco,1759031757,4815,1505
Huechuraba,2018-2,licitacion,1453141525,309,180
Huechuraba,2018-2,trato_directo,1153718384,495,160
Huechuraba,2019-1,convenio_marco,1445368482,2908,965
Huechuraba,2019-1,licitacion,7190179244,523,166
Huechuraba,2019-1,trato_directo,278167922,208,102
Huechuraba,2019-2,convenio_marco,1491013112,3759,1213
Huechuraba,2019-2,licitacion,16472465312,397,169
Huechuraba,2019-2,trato_directo,350071772,203,101
Huechuraba,2020-1,compra_agil,2063559,4,4
Huechuraba,2020-1,convenio_marco,841142338,1596,512
Huechuraba,2020-1,licitacion,1150701932,388,155
Huechuraba,2020-1,trato_directo,650465122,305,124
Huechuraba,2020-2,compra_agil,58396686,261,100
Huechuraba,2020-2,convenio_marco,879599298,1187,496
Huechuraba,2020-2,licitacion,3312080765,331,190
Huechuraba,2020-2,trato_directo,457672624,195,73
Huechuraba,2021-1,compra_agil,193419068,1528,275
Huechuraba,2021-1,convenio_marco,612735119,616,280
Huechuraba,2021-1,licitacion,3308957214,411,166
Huechuraba,2021-1,trato_directo,1104763175,221,93
Huechuraba,2021-2,compra_agil,416290864,4210,527
Huechuraba,2021-2,convenio_marco,509649553,549,272
Huechuraba,2021-2,licitacion,11412503302,317,176
Huechuraba,2021-2,trato_directo,352774615,196,74
Huechuraba,2022-1,compra_agil,389109210,2943,567
Huechuraba,2022-1,convenio_marco,340241755,269,93
Huechuraba,2022-1,licitacion,4342193786,311,169
Huechuraba,2022-1,trato_directo,420538684,138,60
Huechuraba,2022-2,convenio_marco,231822207,199,84
Huechuraba,2022-2,licitacion,7794905376,478,248
Huechuraba,2022-2,trato_directo,351421019,133,79
Huechuraba,2023-1,compra_agil,497460128,2526,707
Huechuraba,2023-1,convenio_marco,308548062,206,67
Huechuraba,2023-1,licitacion,3032576430,358,208
Huechuraba,2023-1,trato_directo,442787419,182,103
Huechuraba,2023-2,compra_agil,826837270,5886,1018
Huechuraba,2023-2,convenio_marco,204313778,171,50
Huechuraba,2023-2,licitacion,15805613022,634,296
Huechuraba,2023-2,trato_directo,807644060,192,98
Huechuraba,2024-1,compra_agil,723020223,9012,767
Huechuraba,2024-1,convenio_marco,328683252,204,64
Huechuraba,2024-1,licitacion,20283470990,428,228
Huechuraba,2024-1,trato_directo,1064862973,181,89
Huechuraba,2024-2,compra_agil,787761242,5728,922
Huechuraba,2024-2,convenio_marco,219765589,111,46
Huechuraba,2024-2,licitacion,2530895549,545,204
Huechuraba,2024-2,trato_directo,875598624,92,74
Huechuraba,2025-1,compra_agil,1810055728,8241,876
Huechuraba,2025-1,convenio_marco,400301809,327,60
Huechuraba,2025-1,licitacion,5127140925,128,95
Huechuraba,2025-1,trato_directo,248855412,43,38
Huechuraba,2025-2,compra_agil,1925278999,9880,1237
Huechuraba,2025-2,convenio_marco,602632655,446,76
Huechuraba,2025-2,licitacion,8939295904,220,125
Huechuraba,2025-2,trato_directo,166143920,28,27
Independencia,2015-1,convenio_marco,362978872,1572,383
Independencia,2015-1,licitacion,1036276913,437,327
Independencia,2015-1,trato_directo,248489441,137,96
Independencia,2015-2,convenio_marco,594297016,2418,686
Independencia,2015-2,licitacion,2292154354,488,356
Independencia,2015-2,trato_directo,316825247,188,175
Independencia,2016-1,convenio_marco,651891817,1855,491
Independencia,2016-1,licitacion,6832763649,474,302
Independencia,2016-1,trato_directo,240670287,160,148
Independencia,2016-2,convenio_marco,914604863,3328,738
Independencia,2016-2,licitacion,1818974893,511,296
Independencia,2016-2,trato_directo,179976649,380,217
Independencia,2017-1,convenio_marco,487676660,1778,454
Independencia,2017-1,licitacion,3151836964,415,283
Independencia,2017-1,trato_directo,507297814,548,136
Independencia,2017-2,convenio_marco,799235654,3005,667
Independencia,2017-2,licitacion,1978466458,470,289
Independencia,2017-2,trato_directo,97846212,539,129
Independencia,2018-1,convenio_marco,474314181,1761,576
Independencia,2018-1,licitacion,3280297309,487,357
Independencia,2018-1,trato_directo,208094777,1045,175
Independencia,2018-2,convenio_marco,802356486,2508,778
Independencia,2018-2,licitacion,4674515224,376,233
Independencia,2018-2,trato_directo,109178637,555,150
Independencia,2019-1,convenio_marco,733731407,2203,702
Independencia,2019-1,licitacion,2719595836,373,299
Independencia,2019-1,trato_directo,159183399,651,151
Independencia,2019-2,convenio_marco,1025106264,2762,798
Independencia,2019-2,licitacion,1583751616,350,254
Independencia,2019-2,trato_directo,157476251,725,145
Independencia,2020-1,convenio_marco,799617571,1244,404
Independencia,2020-1,licitacion,2313521877,300,209
Independencia,2020-1,trato_directo,470721737,1641,312
Independencia,2020-2,compra_agil,16741984,125,34
Independencia,2020-2,convenio_marco,1268819280,1882,548
Independencia,2020-2,licitacion,1276511271,231,141
Independencia,2020-2,trato_directo,858042066,1276,363
Independencia,2021-1,compra_agil,90319458,399,134
Independencia,2021-1,convenio_marco,536760587,642,224
Independencia,2021-1,licitacion,2127547180,360,179
Independencia,2021-1,trato_directo,1824064562,1136,330
Independencia,2021-2,compra_agil,226760201,1880,277
Independencia,2021-2,convenio_marco,453194809,832,219
Independencia,2021-2,licitacion,1977206977,292,189
Independencia,2021-2,trato_directo,519082087,668,269
Independencia,2022-1,compra_agil,254361703,1938,293
Independencia,2022-1,convenio_marco,343918765,389,100
Independencia,2022-1,licitacion,2097373706,489,239
Independencia,2022-1,trato_directo,324501787,661,256
Independencia,2022-2,convenio_marco,329358797,455,86
Independencia,2022-2,licitacion,2584074326,749,258
Independencia,2022-2,trato_directo,725277761,1354,437
Independencia,2023-1,compra_agil,385673631,2470,415
Independencia,2023-1,convenio_marco,325593937,364,70
Independencia,2023-1,licitacion,3092187315,761,202
Independencia,2023-1,trato_directo,1146575617,781,328
Independencia,2023-2,compra_agil,810704441,5135,748
Independencia,2023-2,convenio_marco,400829826,324,81
Independencia,2023-2,licitacion,3558294497,1286,208
Independencia,2023-2,trato_directo,282184572,181,58
Independencia,2024-1,compra_agil,754267993,4814,755
Independencia,2024-1,convenio_marco,360521248,316,67
Independencia,2024-1,licitacion,6548625066,1120,210
Independencia,2024-1,trato_directo,54189639,14,9
Independencia,2024-2,compra_agil,757564508,3431,884
Independencia,2024-2,convenio_marco,362316711,333,85
Independencia,2024-2,licitacion,7994440238,694,182
Independencia,2024-2,trato_directo,421246191,105,74
Independencia,2025-1,compra_agil,1577117420,7542,639
Independencia,2025-1,convenio_marco,270072767,255,62
