municipalidad,anio_semestre,tipo_compra,TamanoProveedor,monto_neto_clp,n_items,n_ordenes,n_proveedores
Cerrillos,2024-2,trato_directo,4.0,40535488,4,4,4
Cerrillos,2024-2,trato_directo,NoClasificado,158252857,6,4,3
Cerrillos,2025-1,compra_agil,Mediana,58395112,211,47,33
Cerrillos,2025-1,compra_agil,Micro,65271004,200,51,45
Cerrillos,2025-1,compra_agil,NoClasificado,102513000,294,57,49
Cerrillos,2025-1,compra_agil,Pequeña,215511836,845,108,81
Cerrillos,2025-1,convenio_marco,Grande,192647203,15,11,7
Cerrillos,2025-1,convenio_marco,Mediana,21836980,3,3,3
Cerrillos,2025-1,convenio_marco,Micro,27493570,46,2,2
Cerrillos,2025-1,licitacion,Grande,2716131204,25,24,10
Cerrillos,2025-1,licitacion,Mediana,252721410,30,8,8
Cerrillos,2025-1,licitacion,Micro,198152381,8,6,5
Cerrillos,2025-1,licitacion,NoClasificado,488042017,4,4,4
Cerrillos,2025-1,licitacion,Pequeña,96462078,8,8,8
Cerrillos,2025-1,trato_directo,Grande,35353488,8,7,5
Cerrillos,2025-1,trato_directo,Pequeña,889360,1,1,1
Cerrillos,2025-2,compra_agil,Grande,3435204,6,3,2
Cerrillos,2025-2,compra_agil,Mediana,49202219,103,35,25
Cerrillos,2025-2,compra_agil,Micro,41285065,63,42,37
Cerrillos,2025-2,compra_agil,NoClasificado,210431250,732,73,64
Cerrillos,2025-2,compra_agil,Pequeña,101749090,242,79,72
Cerrillos,2025-2,convenio_marco,Grande,25270619,37,5,5
Cerrillos,2025-2,convenio_marco,Mediana,3646620,6,2,2
Cerrillos,2025-2,licitacion,Grande,271386318,7,7,7
Cerrillos,2025-2,licitacion,Mediana,370625459,10,6,6
Cerrillos,2025-2,licitacion,Micro,34024071,3,3,3
Cerrillos,2025-2,licitacion,NoClasificado,76130252,2,2,2
Cerrillos,2025-2,licitacion,Pequeña,34359212,8,6,6
Cerrillos,2025-2,trato_directo,Grande,2020368,3,3,2
Cerrillos,2025-2,trato_directo,Mediana,70856000,1,1,1
Cerro Navia,2015-1,convenio_marco,Grande,42703140,91,36,10
Cerro Navia,2015-1,convenio_marco,Mediana,5538991,17,12,4
Cerro Navia,2015-1,convenio_marco,Micro,16524017,17,13,4
Cerro Navia,2015-1,convenio_marco,Pequeña,23564388,33,13,7
Cerro Navia,2015-1,licitacion,Grande,5738582,65,11,6
Cerro Navia,2015-1,licitacion,Mediana,11571596,20,5,4
Cerro Navia,2015-1,licitacion,Micro,213692863,264,56,38
Cerro Navia,2015-1,licitacion,Pequeña,31105631,252,43,31
Cerro Navia,2015-1,trato_directo,Grande,27954273,53,28,12
Cerro Navia,2015-1,trato_directo,Mediana,105042,1,1,1
Cerro Navia,2015-1,trato_directo,Micro,15910394,125,52,17
Cerro Navia,2015-1,trato_directo,Pequeña,1263775,33,7,6
Cerro Navia,2015-2,convenio_marco,Grande,78147530,459,84,17
Cerro Navia,2015-2,convenio_marco,Mediana,10148794,44,18,8
Cerro Navia,2015-2,convenio_marco,Micro,11847473,12,9,5
Cerro Navia,2015-2,convenio_marco,Pequeña,29177232,63,38,14
Cerro Navia,2015-2,licitacion,Grande,20413789,51,13,9
Cerro Navia,2015-2,licitacion,Mediana,19832658,58,13,11
Cerro Navia,2015-2,licitacion,Micro,140775949,570,96,50
Cerro Navia,2015-2,licitacion,Pequeña,44309514,645,72,32
Cerro Navia,2015-2,trato_directo,Grande,27591309,89,34,11
Cerro Navia,2015-2,trato_directo,Mediana,4537881,4,4,2
